CustomerID,OrderID,Product,Quantity,UnitPrice,PurchaseDate,Country,Total
1438,5000,Gaming Console,6,385.83,2022-02-27,Germany,2314.98
1873,5001,Mouse,1,23.82,2022-06-04,USA,23.82
1968,5002,Smartwatch,4,474.0,2022-05-24,Canada,1896.0
1472,5003,Tablet,5,471.65,2022-04-24,France,2358.25
1264,5004,Laptop,3,314.56,2022-11-02,Australia,943.6800000000001
1863,5005,Smartwatch,6,192.57,2022-01-27,Japan,1155.42
1398,5006,Smartphone,5,146.73,2022-03-13,Canada,733.65
1478,5007,Printer,1,55.33,2022-02-09,Canada,55.33
1045,5008,Monitor,6,218.45,2022-02-22,India,1310.6999999999998
1690,5009,Printer,2,90.66,2022-02-18,Japan,181.32
1240,5010,Keyboard,1,202.07,2022-06-10,UK,202.07
1845,5011,Smartphone,2,39.99,2022-12-09,Australia,79.98
1252,5012,Printer,2,371.11,2022-02-17,USA,742.22
1326,5013,Keyboard,6,347.11,2022-02-16,Australia,2082.66
1810,5014,Mouse,4,74.25,2022-05-22,Germany,297.0
1237,5015,Tablet,10,366.28,2022-06-22,Germany,3662.7999999999997
1261,5016,Printer,6,297.82,2022-09-06,France,1786.92
1827,5017,Smartwatch,9,151.43,2022-07-11,Australia,1362.8700000000001
1752,5018,Smartphone,9,164.09,2022-08-14,France,1476.81
1510,5019,Gaming Console,8,488.36,2022-12-02,Australia,3906.88
1785,5020,Gaming Console,8,412.36,2022-11-24,Canada,3298.88
1007,5021,Smartphone,7,224.99,2022-07-14,India,1574.93
1533,5022,Keyboard,9,405.28,2022-07-20,France,3647.5199999999995
1583,5023,Keyboard,4,373.74,2022-09-17,Japan,1494.96
1943,5024,Mouse,6,454.98,2022-07-18,Australia,2729.88
1969,5025,Gaming Console,7,239.0,2022-04-29,France,1673.0
1188,5026,Headphones,6,186.08,2022-10-01,France,1116.48
1075,5027,Headphones,8,8.03,2022-09-18,Australia,64.24
1720,5028,Headphones,10,79.81,2022-01-21,UK,798.1
1024,5029,Smartphone,9,58.87,2022-05-07,Japan,529.8299999999999
1848,5030,Tablet,1,423.59,2022-11-29,Japan,423.59
1257,5031,Headphones,2,280.73,2022-03-12,USA,561.46
1252,5032,Headphones,6,101.33,2022-01-24,UK,607.98
1989,5033,Headphones,5,146.22,2022-02-23,France,731.1
1375,5034,Gaming Console,7,62.62,2022-09-22,Canada,438.34
1150,5035,Gaming Console,9,325.91,2022-04-10,Japan,2933.19
1596,5036,Headphones,7,24.73,2022-06-09,Japan,173.11
1251,5037,Smartwatch,2,141.07,2022-09-12,Japan,282.14
1149,5038,Tablet,2,195.83,2022-12-07,India,391.66
1502,5039,Monitor,8,312.66,2022-08-25,USA,2501.28
1916,5040,Keyboard,9,296.41,2022-03-02,Japan,2667.69
1700,5041,Gaming Console,4,234.71,2022-04-04,Canada,938.84
1130,5042,Smartwatch,3,351.01,2022-04-10,UK,1053.03
1225,5043,Keyboard,6,72.0,2022-12-05,Canada,432.0
1423,5044,Smartwatch,8,415.37,2022-05-09,Australia,3322.96
1702,5045,Monitor,2,42.55,2022-02-27,Japan,85.1
1082,5046,Printer,7,330.8,2022-09-23,France,2315.6
1626,5047,Tablet,3,215.92,2022-12-25,India,647.76
1520,5048,Headphones,8,303.71,2022-04-14,India,2429.68
1134,5049,Smartwatch,5,481.98,2022-09-05,Australia,2409.9
1863,5050,Mouse,2,391.32,2022-09-22,UK,782.64
1113,5051,Smartwatch,3,106.08,2022-06-08,France,318.24
1815,5052,Tablet,7,406.21,2022-06-04,France,2843.47
1315,5053,Mouse,8,468.55,2022-07-19,France,3748.4
1259,5054,Laptop,6,264.97,2022-10-30,UK,1589.8200000000002
1478,5055,Keyboard,8,355.19,2022-01-24,France,2841.52
1649,5056,Monitor,4,167.16,2022-06-08,France,668.64
1065,5057,Smartwatch,5,36.31,2022-01-23,Australia,181.55
1947,5058,Printer,8,321.32,2022-01-25,UK,2570.56
1593,5059,Mouse,2,483.38,2022-02-22,India,966.76
1954,5060,Headphones,3,304.95,2022-01-20,France,914.8499999999999
1304,5061,Smartphone,2,488.37,2022-04-09,Canada,976.74
1338,5062,Laptop,2,257.13,2022-03-24,India,514.26
1686,5063,Smartphone,10,233.15,2022-07-19,Canada,2331.5
1619,5064,Keyboard,4,339.58,2022-05-16,France,1358.32
1498,5065,Monitor,2,62.99,2022-02-18,Canada,125.98
1682,5066,Printer,8,410.69,2022-01-31,India,3285.52
1279,5067,Gaming Console,10,247.98,2022-07-31,India,2479.7999999999997
1185,5068,Tablet,9,422.06,2022-12-28,India,3798.54
1205,5069,Tablet,6,481.6,2022-07-22,Japan,2889.6000000000004
1811,5070,Gaming Console,4,214.64,2022-05-18,India,858.56
1343,5071,Monitor,5,499.97,2022-06-29,India,2499.8500000000004
1051,5072,Headphones,7,111.28,2022-04-26,USA,778.96
1142,5073,Printer,10,198.39,2022-09-21,France,1983.8999999999999
1918,5074,Smartphone,7,376.22,2022-06-20,Canada,2633.54
1695,5075,Laptop,7,284.97,2022-01-17,UK,1994.7900000000002
1176,5076,Monitor,7,23.91,2022-06-13,Germany,167.37
1443,5077,Mouse,5,17.41,2022-07-08,USA,87.05
1007,5078,Gaming Console,7,153.21,2022-02-12,France,1072.47
1164,5079,Tablet,9,55.46,2022-11-23,Australia,499.14
1006,5080,Printer,3,286.74,2022-07-08,India,860.22
1015,5081,Laptop,8,196.11,2022-07-28,Canada,1568.88
1476,5082,Monitor,6,150.7,2022-07-16,UK,904.1999999999999
1951,5083,Printer,4,47.32,2022-10-17,India,189.28
1291,5084,Mouse,8,288.31,2022-11-24,India,2306.48
1727,5085,Gaming Console,4,143.27,2022-11-11,France,573.08
1636,5086,Laptop,4,440.2,2022-08-06,Germany,1760.8
1393,5087,Laptop,8,434.73,2022-12-04,Canada,3477.84
1185,5088,Headphones,1,79.01,2022-04-09,France,79.01
1994,5089,Mouse,8,12.67,2022-06-14,Canada,101.36
1239,5090,Mouse,10,204.54,2022-08-22,France,2045.3999999999999
1585,5091,Headphones,3,229.18,2022-02-22,Japan,687.54
1038,5092,Printer,8,37.61,2022-12-01,Germany,300.88
1220,5093,Gaming Console,4,61.29,2022-03-14,USA,245.16
1058,5094,Gaming Console,10,184.05,2022-03-19,France,1840.5
1293,5095,Monitor,1,264.07,2022-06-27,Canada,264.07
1460,5096,Smartphone,7,35.64,2022-10-20,Japan,249.48000000000002
1482,5097,Gaming Console,8,166.14,2022-09-26,India,1329.12
